Pl.	Dos	Nom	Club	Sx	Cat	Par cat.	5km	10km	12km	15km	Temps
141.	8558	FRANGERS SÉBASTIEN		Homme	M0H	28	0:17:14	0:33:54	0:42:36	0:50:52	1:11:08
142.	6544	FRMOUSSU BENJAMIN	REVEIL SPORTIF DE ST CYR/LOIRE	Homme	SEH	97	0:17:03	0:33:41	0:42:25	0:50:44	1:11:09
143.	1548	FRPETITJEAN NICOLAS	EA ST QUENTIN EN YVELINES	Homme	M0H	29	0:17:05	0:33:41	0:42:16	0:50:35	1:11:12
144.	6142	FRHAROS MICHAEL		Homme	M1H	11	0:17:06	0:33:42	0:42:26	0:50:48	1:11:14
145.	7976	FRFOUCOIN JULES	AO CHARENTON	Homme	SEH	98	0:16:49	0:33:13	0:42:09	0:50:38	1:11:14
146.	3913	FRGALLET LORYS	DECINES MEYZIEU ATHLETISME*	Homme	SEH	99	0:16:50	0:33:08	0:41:50	0:50:14	1:11:15
147.	8690	MAVIER PIERRE	S/L ES NANTERRE	Homme	M0H	30	0:17:06	0:33:42	0:42:25	0:50:47	1:11:16
148.	3095	FRROSSIGNAUD ALEXANDRE	S/L AIX ATHLE PROVENCE	Homme	SEH	100	0:16:56	0:33:29	0:42:07	0:50:32	1:11:21
149.	698	FRDURAND GATIEN	USM MALAKOFF	Homme	SEH	101	0:17:12	0:33:54	0:42:40	0:51:07	1:11:23
150.	7932	FRCADOT CLÉMENT		Homme	SEH	102	0:17:11	0:33:54	0:42:35	0:50:57	1:11:24
151.	7907	FRGUENNOU DAMIEN		Homme	M0H	31	0:17:06	0:33:40	0:42:27	0:50:46	1:11:24
152.	2321	FRRAMPONI AXEL		Homme	SEH	103	0:16:12	0:32:24	0:41:24	0:50:08	1:11:25
153.	6390	FRCANZONIERI BENJAMIN	S/L EA CREIL	Homme	SEH	104	0:17:10	0:33:51	0:42:35	0:50:55	1:11:26
154.	4824	FRCHARRIER ANTOINE	BARBES RUNNERS	Homme	M0H	32	0:16:57	0:33:30	0:42:17	0:50:42	1:11:30
155.	5865	FRMAAMOUZ AHMED	AO CHARENTON	Homme	M1H	12	0:17:06	0:33:42	0:42:25	0:50:46	1:11:32
