Pl.	Dos	Nom	Club	Sx	Cat	Par cat.	5km	10km	12km	15km	Temps
9491.	9778	FRJAMIN AURÉLIE		Femme	SEF	1447	0:29:38	0:58:38	1:15:02	1:30:29	2:09:26
9492.	9304	FRSIMÉON VALÉRIE		Femme	M5F	25	0:33:45	1:03:39	1:19:41	1:34:05	2:09:26
9493.	9740	FRPARRAMORE PHILIPPINE		Femme	SEF	1448	0:32:09	1:03:05	1:19:14	1:34:20	2:09:26
9494.	8537	FREL HOSS RAMY		Homme	M0H	1006	0:28:37	0:56:57	1:12:37	1:28:11	2:09:27
9495.	11794	FRBATUT MADELEINE		Femme	SEF	1449	0:30:59	1:00:12	1:15:39	1:30:45	2:09:28
9496.	7079	FREL HAOUARI DAOUD AHMED PAUL		Homme	SEH	3432	0:29:39	0:58:43		1:30:29	2:09:29
9497.	10535	FRGALLAIS JUSTINE		Femme	SEF	1450	0:32:28	1:01:36	1:17:07	1:32:03	2:09:29
9498.	3449	FRTHEVENOT BENJAMIN		Homme	M3H	569	0:32:41	1:02:48	1:18:25	1:33:05	2:09:29
9499.	10232	FRRIOU LOU		Femme	SEF	1451	0:31:19	1:00:27			2:09:29
9500.	10761	FRLOISON VICTORIA		Femme	SEF	1452	0:30:57	0:59:58	1:15:40	1:31:02	2:09:31
9501.	10393	FRCOLIN JULIETTE		Femme	SEF	1453	0:31:31	1:02:01	1:18:01	1:33:06	2:09:31
9502.	9927	FRADLIMI LEÏLA		Femme	M2F	152	0:27:00	0:58:04	1:15:38	1:31:55	2:09:32
9503.	11788	FRBRIÈRE BERTILLE		Femme	SEF	1454	0:29:50	0:59:37	1:15:47	1:31:11	2:09:32
9504.	9645	CNZHENG WEIYU		Femme	SEF	1455	0:29:56	0:59:25	1:14:57	1:30:08	2:09:32
9505.	11104	FRDURAND CAROLINE		Femme	M1F	188	0:31:56	1:01:22	1:17:03	1:32:03	2:09:32
9506.	9646	FRBRUNEAU ESTELLE		Femme	SEF	1456	0:27:33	0:54:45	1:10:05	1:25:25	2:09:33
9507.	1172	FRMAGINOT NICOLAS		Homme	SEH	3433	0:29:44	0:57:41	1:13:39	1:28:07	2:09:33
9508.	9915	FRBELLEY MARIE		Femme	SEF	1457	0:30:54	1:01:14	1:17:13	1:32:19	2:09:35
9509.	9693	FRMOREAU ROSIE		Femme	M3F	104	0:30:14	0:59:20	1:15:38	1:31:10	2:09:36
9510.	11247	USRAMSDEN ABIGAIL		Femme	M2F	153	0:31:58	1:01:25	1:17:23	1:32:07	2:09:36
9511.	6629	FRMAUNY STEPHANE		Homme	M2H	615	0:29:58	0:59:13	1:14:49	1:30:26	2:09:37
9512.	1848	FRKPADÉ CÉDRIC		Homme	M2H	616	0:30:13	0:59:59	1:15:47	1:31:25	2:09:38
9513.	12264	FRBAKRI CÉLIA		Femme	SEF	1458	0:28:37	0:56:44	1:14:06	1:31:09	2:09:38
9514.	12449	FRBARRON ESTELLE		Femme	SEF	1459	0:30:41	1:00:27	1:16:47	1:32:19	2:09:38
9515.	4861	FRPEGORIER MATTHIEU		Homme	M2H	617	0:30:19	1:00:27	1:16:21	1:31:48	2:09:39
9516.	10477	FRPEGORIER ANNE		Femme	M1F	189	0:30:16	1:00:27	1:16:20	1:31:51	2:09:39
9517.	9008	FRBOKOBZA AUDREY		Femme	M0F	233	0:34:48	1:03:40	1:20:36	1:34:44	2:09:39
9518.	8750	FRVALENTIN LUCAS		Homme	SEH	3434	0:30:41	1:00:25	1:16:42	1:32:20	2:09:40
9519.	6508	FRLAURENT GUILLAUME		Homme	M0H	1007	0:28:49	0:56:27	1:11:33	1:27:17	2:09:41
9520.	11956	FRASSAEL CLAIRE		Femme	M0F	234	0:30:18	1:00:06	1:16:00	1:31:28	2:09:41
9521.	6306	FRLAGRANGE LUC		Homme	M3H	570	0:28:51	0:57:15	1:13:33	1:28:57	2:09:43
9522.	11313	MAEL AOUALE KAOUTAR		Femme	SEF	1460	0:29:11	0:56:20	1:11:02	1:25:16	2:09:44
9523.	10796	FRMANETTI CATHERINE		Femme	M3F	105	0:30:12	0:59:34	1:15:29	1:30:45	2:09:45
9524.	9976	FRSAINT-BLANCAT MARINE		Femme	SEF	1461	0:30:11	0:59:28	1:15:30	1:30:46	2:09:45
9525.	11504	FRPEYLE ANNE SOPHIE		Femme	M2F	154	0:31:31	1:01:07	1:16:56	1:32:00	2:09:46
9526.	9698	FRBONAVENTURE CHEREL SABINE		Femme	M3F	106	0:31:00	1:00:00	1:15:55	1:31:22	2:09:46
9527.	1689	FRGUILBERT GUILLAUME		Homme	M0H	1008	0:31:19	1:01:37	1:17:48	1:32:54	2:09:46
9528.	7627	FRLE BOURLIGU PAUL		Homme	SEH	3435	0:26:30	0:53:39	1:09:59	1:27:18	2:09:47
9529.	7910	FRPIZZATO VINCENT		Homme	M1H	748	0:29:38	0:57:46	1:13:23	1:28:40	2:09:47
9530.	5889	FRGONCALVES LUCAS		Homme	SEH	3436	0:31:06	1:00:34	1:16:27	1:31:19	2:09:47
9531.	10068	FRDE SAO PEDRO EMMA		Femme	SEF	1462	0:31:43	1:01:25	1:17:27	1:32:35	2:09:47
9532.	10069	FRDE SAO PEDRO ELISA		Femme	ESF	53	0:31:43	1:01:25	1:17:25	1:32:34	2:09:47
9533.	1720	FRLANGLOIS PHILIPPE		Homme	M6H	50	0:31:05	1:00:08	1:16:00	1:30:52	2:09:48
9534.	10831	FRCOHEN ROMY		Femme	SEF	1463	0:31:03	1:01:09	1:17:07	1:32:31	2:09:48
9535.	2707	FRNOURY EDOUARD		Homme	M3H	571	0:27:25	0:54:08	1:09:10	1:28:18	2:09:49
9536.	10826	FRCADIOU JOSÉPHINE		Femme	SEF	1464	0:30:29	0:59:49	1:15:41	1:31:11	2:09:49
9537.	11511	FRDA SILVA FERREIRA NADEGE		Femme	M2F	155	0:31:37	1:01:40	1:17:39	1:33:00	2:09:50
9538.	11951	FRDENIS NAIMA		Femme	M2F	156	0:31:05	1:00:04	1:15:59	1:31:27	2:09:51
9539.	11239	FRPETURAUD CECILE		Femme	M0F	235	0:31:13	1:00:40	1:16:42	1:32:05	2:09:51
9540.	3921	FRLABRIERE BENOIT		Homme	M3H	572	0:30:45	1:00:12	1:16:06	1:30:46	2:09:52
9541.	7211	FRLATRY FRANÇOIS		Homme	M2H	618	0:31:12	1:00:45	1:16:15	1:31:08	2:09:53
9542.	11171	FREGO LAURE		Femme	M4F	64	0:31:11	0:59:59	1:15:43	1:30:27	2:09:54
9543.	3379	FRWOJEIK FREDERIC		Homme	M3H	573	0:30:58	0:59:22	1:15:41	1:31:39	2:09:54
9544.	6513	FRGRANIER CHARLES		Homme	SEH	3437	0:33:09	1:03:41	1:18:58	1:33:23	2:09:54
9545.	7202	FRKERLOC’H BENOÎT	CAB PONT L'ABBE	Homme	M4H	315	0:30:56	1:00:49	1:16:55	1:31:53	2:09:56
9546.	7802	FRBROC MARTIN		Homme	SEH	3438	0:33:31	1:04:28	1:20:44	1:35:24	2:09:56
9547.	9037	FRFONTAINE CHLOE		Femme	SEF	1465	0:32:07	1:02:18	1:18:04	1:33:09	2:09:56
9548.	566	FRROUX DE LUZE GODEFROY		Homme	SEH	3439	0:32:14	1:00:40	1:15:56	1:30:52	2:09:56
9549.	11723	FRCARCELLER FLORIANE		Femme	M0F	236	0:29:54	0:59:03	1:15:34	1:31:09	2:09:57
9550.	8389	FREL ALAMI SIDI NIZAR		Homme	M1H	749	0:27:47	0:55:11	1:12:21		2:09:57
9551.	9468	FRAUBRY SERVINE		Femme	M2F	157	0:29:41	0:59:02	1:15:27	1:30:48	2:09:57
9552.	3853	FRMEITE YOUSSOUPH		Homme	M3H	574	0:30:28	1:00:17	1:16:18	1:31:28	2:09:58
9553.	5587	FRAUBRY CEDRIC		Homme	M2H	619	0:29:42	0:59:04	1:15:27	1:30:52	2:09:58
9554.	5164	FRNANTARD BENJAMIN		Homme	M2H	620	0:33:19	1:03:28	1:19:44	1:35:11	2:09:58
9555.	7189	FRVALEAU CARL		Homme	M3H	575	0:30:16	1:00:16	1:16:12	1:31:28	2:09:59
9556.	2851	FRSCETBUN JEREMY		Homme	M0H	1009	0:28:36	0:57:12	1:13:26	1:30:44	2:10:00
9557.	5513	FRMARCHAND YANN		Homme	M4H	316	0:31:54	1:01:41	1:17:26	1:32:25	2:10:01
9558.	1606	FRQUÉMÉNEUR ALAN		Homme	M3H	576	0:31:15	1:00:57	1:17:31	1:32:31	2:10:01
9559.	9500	FRTAVARES ANGELINA		Femme	SEF	1466	0:32:00	1:01:38	1:17:30	1:32:38	2:10:01
9560.	3455	FRDURAND JULIEN		Homme	SEH	3440	0:29:59	0:59:59	1:16:07	1:31:28	2:10:02
9561.	7086	FRSAMSON STEPHANE		Homme	M3H	577	0:29:18	0:56:52	1:13:00	1:28:31	2:10:03
9562.	11310	FRNACHTERGAELE MARIE		Femme	M0F	237	0:31:05	1:00:20	1:16:08	1:31:46	2:10:06
9563.	10615	FRGUIMARAES CHARLOTTE	RUN UP NANTERRE	Femme	SEF	1467	0:31:39	1:02:03		1:33:19	2:10:06
9564.	9231	FRMOUREY LOUISE		Femme	SEF	1468	0:31:06	1:00:32	1:16:26	1:31:22	2:10:06
9565.	5876	DZABDENACER CHINE		Homme	M0H	1010	0:33:31	1:03:10	1:18:30	1:32:57	2:10:06
9566.	10133	FRMANCHON CLAIRE		Femme	SEF	1469	0:32:52	1:03:12	1:18:39	1:33:40	2:10:07
9567.	8368	FRBROUSSET THOMAS		Homme	SEH	3441	0:30:50	0:59:52	1:16:10	1:31:55	2:10:09
9568.	5285	***** DOSSARD INCONNU					0:32:29	1:01:28	1:17:28	1:32:30	2:10:09
9569.	5613	FRTABARD GUILLAUME		Homme	M5H	166	0:30:58	1:00:32	1:16:30	1:31:30	2:10:10
9570.	6279	FRALIZON FABRICE		Homme	M3H	578	0:28:34	0:56:48	1:12:35	1:29:28	2:10:11
9571.	7186	FRGILIBERT ARMEL		Homme	SEH	3442	0:26:25	0:53:39	1:13:16	1:31:16	2:10:11
9572.	1266	FRBRIZARD LUKA		Homme	SEH	3443	0:29:25	0:58:35	1:14:21	1:29:18	2:10:12
9573.	7893	FRRICHARD JULIEN		Homme	M2H	621	0:29:23	0:57:58	1:13:16	1:28:06	2:10:14
9574.	9459	FRFRIDERICH LINAELLE		Femme	SEF	1470	0:32:59	1:01:54	1:17:49	1:33:12	2:10:14
9575.	414	FRROCARD FLORIAN		Homme	M1H	750	0:29:18	0:57:59	1:13:15	1:28:09	2:10:15
9576.	6266	FRRICHARD PAUL		Homme	M1H	751	0:29:18	0:57:59	1:13:17	1:28:08	2:10:15
9577.	1744	FRMEUNIER ERIC		Homme	M3H	579	0:31:11	1:00:28	1:16:44	1:32:09	2:10:15
9578.	8985	GARINOIS MARIE		Femme	M1F	190	0:30:09	1:00:04	1:15:50	1:31:13	2:10:15
9579.	11204	FRHERMANN JULIE		Femme	SEF	1471	0:30:20	0:59:47	1:15:58	1:32:18	2:10:16
9580.	11373	FRSORAIN SARAH		Femme	SEF	1472	0:33:03	1:03:07	1:18:24	1:33:03	2:10:17
9581.	12464	FRCAILLET EMILIE		Femme	M0F	238	0:31:40	1:02:09	1:18:32	1:33:33	2:10:17
9582.	12340	FRCARRASCO MARIE		Femme	SEF	1473	0:33:59	1:03:52	1:19:12	1:34:32	2:10:17
9583.	11497	FRTRÉMAUDAN LAURA		Femme	SEF	1474	0:29:54	0:59:51	1:15:56	1:31:35	2:10:18
9584.	12026	FRDOAN PHUONG		Homme	M1H	752	0:31:48	1:00:17	1:16:11	1:31:25	2:10:18
9585.	8333	FRRANDRIANARISON ALEXANDRE		Homme	SEH	3444		0:59:53	1:15:58	1:31:36	2:10:19
9586.	635	FRPEREIRA DAVID		Homme	M4H	317	0:31:54	1:02:39	1:18:36	1:33:32	2:10:19
9587.	4662	FRDOAN NHAT LINH		Homme	M3H	580	0:31:50	1:00:16	1:16:09	1:31:25	2:10:19
9588.	10370	FRLENGLET ZHOUR		Femme	M1F	191	0:30:55	1:00:24	1:17:07	1:32:17	2:10:20
9589.	4926	FRBRUN PIERRE		Homme	M6H	51	0:30:06	0:59:33	1:16:07	1:32:06	2:10:20
9590.	6855	FRCORDES ROMAIN		Homme	M3H	581	0:29:32	0:58:40	1:15:11	1:31:12	2:10:21
9591.	8760	FRRAGOIS CHARLES		Homme	M0H	1011	0:30:08	1:00:15	1:15:52	1:30:53	2:10:22
9592.	994	FRPOIRIER ARMAND		Homme	SEH	3445	0:33:30	1:03:43	1:18:43	1:32:38	2:10:22
9593.	9257	FRFONTAINE CONSTANCE		Femme	SEF	1475	0:28:34	0:57:19	1:14:12	1:29:55	2:10:23
9594.	8246	FRSUBRA GUILLAUME		Homme	M2H	622	0:30:02	0:58:29	1:15:27	1:30:23	2:10:23
9595.	6065	FRPORTIER JULIEN		Homme	M1H	753	0:28:57	0:57:28	1:13:16	1:28:35	2:10:23
9596.	7545	FRRODRIGUES DILAN		Homme	SEH	3446	0:31:01	0:59:43	1:15:09	1:30:18	2:10:23
9597.	9376	FRGUIGUE LAURA		Femme	SEF	1476	0:32:08	1:02:42	1:19:12	1:34:18	2:10:23
9598.	11079	FRRIGAUDIÈRE AUDE		Femme	M2F	158	0:30:50	1:00:40	1:16:41	1:32:13	2:10:26
9599.	10773	FRDEVLIN GENIN ALANNA		Femme	SEF	1477	0:29:16	0:58:40	1:14:48	1:29:43	2:10:26
9600.	1972	FRLUCHEZ NICOLAS	RUNMOTION TEAM	Homme	M2H	623	0:29:12	0:58:24	1:14:14	1:29:55	2:10:28
9601.	11242	FRSALAUN VALENTINE		Femme	SEF	1478	0:30:36	1:00:00	1:16:42	1:32:27	2:10:28
9602.	10055	FRCHARLOIS FLAVIE		Femme	SEF	1479	0:32:13	1:01:52	1:17:52	1:32:57	2:10:28
9603.	9262	FRCLOTEAUX JULIE		Femme	M1F	192	0:31:53	1:01:29	1:17:03	1:32:09	2:10:28
9604.	9399	FRMARCADÉ LOANA		Femme	SEF	1480	0:31:33	1:01:21	1:17:13	1:32:39	2:10:30
9605.	1789	FRTARIN PASCAL		Homme	M2H	624	0:34:05	1:07:05	1:23:38	1:38:11	2:10:30
9606.	6449	FRNACHER ANTOINE		Homme	M0H	1012	0:33:12	1:03:30	1:19:23	1:34:08	2:10:30
9607.	9517	DZKRAIM HASNA		Femme	SEF	1481	0:29:53	0:59:01	1:15:26	1:31:30	2:10:31
9608.	8955	FRREVERBERI MAGALIE		Femme	M1F	193	0:32:45	1:01:38	1:17:26	1:32:40	2:10:31
9609.	8968	FRWEBERT ELÉONORE		Femme	SEF	1482	0:31:48	1:01:10	1:16:43	1:31:42	2:10:32
9610.	3196	FRZIZA JEAN-RENÉ		Homme	M5H	167	0:31:23	1:00:33	1:16:37	1:31:45	2:10:33
9611.	10830	FRMASSOULIER SOPHIE		Femme	M3F	107	0:32:41	1:02:17	1:17:44	1:32:16	2:10:34
9612.	7431	FRLAUDOU VINCENT	LA JEUNESSE DE CROISSY	Homme	M3H	582	0:32:00	1:02:54	1:18:47	1:34:01	2:10:34
9613.	6966	FRCHAMAYOU JULIEN		Homme	SEH	3447	0:30:55	1:00:22	1:15:51	1:32:06	2:10:34
9614.	11160	FRLAUDOU MORGANE		Femme	SEF	1483	0:31:56	1:02:55	1:18:48	1:34:01	2:10:35
9615.	9885	FRCHOTEAU CYRIELLE		Femme	SEF	1484	0:30:56	1:00:22	1:15:50	1:32:08	2:10:35
9616.	9933	FRBRUNEL MARIE-ASTRID		Femme	M1F	194	0:29:42	0:58:51	1:15:35	1:31:05	2:10:36
9617.	4941	FRKOUKERDJINIAN--MASSOULIER TRISTAN		Homme	ESH	216	0:32:41	1:02:17	1:17:43	1:32:17	2:10:36
9618.	574	FRBOULANGER FREDERIC		Homme	M2H	625	0:31:57	1:02:18	1:18:32	1:34:03	2:10:38
9619.	205	FRDJAMALI FABRICE		Homme	M5H	168	0:28:47	0:58:26	1:15:00	1:30:50	2:10:39
9620.	9963	FRFLORENTIN CATHERINE		Femme	SEF	1485	0:32:27	1:01:42	1:17:31	1:32:24	2:10:41
9621.	12486	FRBERCKMOES GWENDOLINE		Femme	SEF	1486	0:30:08	0:59:51	1:16:08	1:31:26	2:10:42
9622.	10635	FRLECLAIR MATHILDE		Femme	SEF	1487	0:30:21	0:59:50	1:16:14	1:32:13	2:10:43
9623.	10634	FRMEUNIER MAUDE		Femme	SEF	1488	0:30:24	0:59:50	1:16:15	1:32:13	2:10:43
9624.	10088	FRBARNET HELFANT SOPHIE		Femme	SEF	1489	0:32:27	1:01:40	1:17:29	1:32:20	2:10:43
9625.	3187	FRJEANROY LOGAN		Homme	SEH	3448	0:29:47	0:58:07	1:13:34	1:29:14	2:10:43
9626.	4564	FRLHAYANI MIKAEL		Homme	M4H	318	0:32:38	1:02:45	1:18:40	1:33:49	2:10:43
9627.	7972	FRREGNIER PAUL		Homme	SEH	3449	0:24:15	0:48:01	1:03:23	1:31:49	2:10:44
9628.	8783	FRNEGRONI HUGUES		Homme	M5H	169	0:29:45	0:58:39	1:15:33	1:30:55	2:10:44
9629.	11002	FRCAVELIER CHLOE		Femme	SEF	1490	0:33:15	1:04:30	1:20:44	1:35:41	2:10:44
9630.	11560	FRSABRAN MANON		Femme	SEF	1491	0:30:10	1:00:13	1:16:35	1:32:21	2:10:46
9631.	11216	FRGALLIOT EMMIE	S/L STADE FRANCAIS (PARIS)	Femme	SEF	1492	0:30:35	1:00:08	1:16:12	1:31:31	2:10:47
9632.	9163	FRCLEMENT ISOLINE		Femme	SEF	1493	0:31:31	1:01:38	1:17:20	1:32:24	2:10:49
9633.	10883	FRMELKI STEPHANIE		Femme	SEF	1494	0:28:49	0:57:15	1:13:03	1:28:30	2:10:50
9634.	10416	FRLAURANT ISABELLE	S/L PLESSIS ROBINSON AC	Femme	M1F	195	0:30:27	0:59:34	1:16:02	1:31:01	2:10:51
9635.	1718	FRBOUAZIZ JEREMY		Homme	M1H	754	0:31:11	1:01:13	1:17:31	1:33:10	2:10:52
9636.	9798	FRTESCAT OPHELIE		Femme	SEF	1495	0:34:56	1:08:33	1:23:45	1:38:17	2:10:53
9637.	8075	FRSALGADO CHRISTOPHE		Homme	M3H	583	0:29:24	0:59:05	1:15:49	1:31:19	2:10:54
9638.	4442	FRGIRARD CLÉMENT		Homme	SEH	3450	0:29:34	0:59:46	1:16:01	1:31:51	2:10:55
9639.	11004	FRCAVELIER CHARLOTTE		Femme	SEF	1496	0:33:15	1:04:30	1:20:44	1:35:42	2:10:55
9640.	577	FRNOBLANC AYMERIC		Homme	SEH	3451	0:31:36	1:02:08	1:18:25	1:34:49	2:10:57
9641.	7896	FRBLAZEJEWSKI OSCAR		Homme	SEH	3452	0:32:57	1:03:50	1:20:09	1:35:11	2:10:58
9642.	11512	FRTSHILIEMA MANDE PRISCILLE		Femme	SEF	1497	0:31:21	1:01:51	1:18:00	1:33:25	2:10:58
9643.	11348	FRFOURNAGE LÉONORE		Femme	SEF	1498	0:31:43	1:02:09	1:17:57	1:32:50	2:11:01
9644.	4753	FRVIARD CLÉMENT		Homme	M2H	626	0:32:04	1:01:48	1:18:06	1:33:31	2:11:01
9645.	9374	FRAL WAZIR RANIA		Femme	M1F	196	0:32:04		1:18:06	1:33:31	2:11:01
9646.	1971	FRMARTIN MICKAEL		Homme	SEH	3453	0:33:07	1:03:47	1:20:01	1:34:39	2:11:01
9647.	11347	FRGERIN TOSCANE		Femme	SEF	1499	0:31:45	1:02:10	1:17:58	1:32:55	2:11:02
9648.	9670	FRCAZALA MARIANNE		Femme	SEF	1500	0:29:57	0:59:02	1:14:39	1:31:01	2:11:03
9649.	1963	FRBROET PHILIPPE		Homme	M5H	170	0:32:11	1:02:24	1:18:43	1:34:03	2:11:04
9650.	8400	FR***** DOSSARD INCONNU					0:27:41	0:55:10	1:10:21	1:26:22	2:11:05
9651.	3655	FRFAUCRET HUGO		Homme	SEH	3454	0:29:45	0:57:19	1:12:34	1:28:15	2:11:05
9652.	6817	FRCALDERAN MILANE		Homme	SEH	3455	0:33:40	1:04:03	1:20:21	1:35:16	2:11:05
9653.	450	ITNURISSO GIANMARIA		Homme	M0H	1013	0:29:38	0:57:19	1:12:48	1:28:44	2:11:06
9654.	9379	LEGE DAWN		Femme	SEF	1501	0:33:39	1:04:05	1:20:22	1:35:17	2:11:06
9655.	9145	FRCOURDE CAROLINE		Femme	SEF	1502	0:31:42	1:01:25	1:18:22	1:34:01	2:11:07
9656.	9212	PLKONIECZNA KINGA		Femme	SEF	1503	0:30:15	1:00:12	1:16:56	1:32:52	2:11:07
9657.	9043	FRSROUSSI DEBORAH		Femme	M0F	239	0:31:22	1:00:42	1:16:58	1:32:43	2:11:08
9658.	4755	FRFERNANDES ADRIEN		Homme	SEH	3456	0:33:41	1:04:04	1:20:22	1:35:18	2:11:08
9659.	9196	FRDUPONCHELLE CÉLESTINE		Femme	SEF	1504	0:32:40	1:02:58	1:19:03	1:34:25	2:11:08
9660.	9088	FRMARQUES JULIETTE		Femme	SEF	1505	0:33:17	1:03:12		1:34:41	2:11:09
9661.	3441	FRLEBLOND CEDRIC		Homme	M2H	627	0:29:35	0:57:57	1:13:26	1:28:54	2:11:11
9662.	12480	FRBOUVIER SYLVIE	ENTENTE ANGEVINE ATHLETISME*	Femme	M4F	65	0:28:38	0:58:12	1:15:13	1:31:26	2:11:11
9663.	10631	FRSOYSOUVANH FANNY		Femme	M1F	197	0:30:46	1:00:58	1:17:03	1:32:45	2:11:11
9664.	9363	FRSERRANO CARLA		Femme	SEF	1506	0:33:18	1:03:16	1:19:42	1:34:40	2:11:11
9665.	5672	FRCOLIN GUILLAUME		Homme	SEH	3457		0:55:58	1:12:38	1:28:59	2:11:12
9666.	11721	FRSEBECK KHELLAF CHRISTELLE	RUN UP NANTERRE	Femme	M3F	108	0:31:25	1:01:49	1:18:00	1:33:18	2:11:13
9667.	9358	FRAMBRE SCHNEIDER		Femme	SEF	1507	0:31:11	1:01:12	1:17:31	1:33:08	2:11:13
9668.	9101	FRMORIN CYNTHIA	ALLURE28 RUNNING CLUB	Femme	M1F	198	0:30:24	0:59:53	1:15:58	1:31:36	2:11:14
9669.	4776	FRDOUILLARD SIMON		Homme	SEH	3458	0:28:07	0:56:57	1:14:08	1:29:37	2:11:15
9670.	7110	FRCLAUDE SÉBASTIEN		Homme	M2H	628	0:28:28	0:57:48	1:13:58	1:29:34	2:11:15
9671.	3140	FRFOSSE ALEXANDRE	PHILIPPIDES CLUB TEMPLEUVOIS	Homme	SEH	3459	0:31:59	1:02:50	1:18:57	1:33:53	2:11:15
9672.	551	FRCISSE ALIOUNE		Homme	M0H	1014	0:32:41	1:03:34	1:19:41	1:34:30	2:11:15
9673.	643	FRJUST ALEXIS		Homme	ESH	217	0:32:52	1:02:39	1:18:16	1:34:17	2:11:15
9674.	11315	FROBONO GABRIELLE		Femme	SEF	1508	0:29:24	0:58:29	1:15:12	1:31:20	2:11:17
9675.	7621	FRGANIZATE FLORESTAN		Homme	M2H	629	0:32:08	1:02:27	1:18:21	1:33:35	2:11:17
9676.	8697	FRBRUNE OLIVIER		Homme	M1H	755	0:44:17	1:11:07	1:25:12	1:38:35	2:11:18
9677.	6519	FRMALICK GILLES		Homme	M3H	584	0:30:14	0:59:39	1:15:56	1:31:35	2:11:19
9678.	10530	PLED KARINE		Femme	M3F	109	0:30:58	0:59:41	1:15:36	1:31:44	2:11:20
9679.	12396	FRSARRAFI MITHRA		Femme	M3F	110	0:31:21	1:01:10	1:17:18	1:32:44	2:11:21
9680.	4072	FRBIENVENU ERIC		Homme	M4H	319	0:29:49	0:58:25	1:14:29	1:29:54	2:11:22
9681.	7792	FRACCHIARDI MATHIEU		Homme	SEH	3460	0:33:11	1:04:05	1:20:28	1:36:11	2:11:22
9682.	11030	FRBAILLET SYLVIE		Femme	M6F	9	0:29:00	0:58:27	1:14:50	1:30:40	2:11:23
9683.	9027	FRKANDIBAN SANMADY		Femme	SEF	1509	0:32:35	1:02:47	1:18:45	1:33:45	2:11:23
9684.	10523	FRPAULOU STEPHANIE	CLAMART CHATILLON RUNNING 92	Femme	M0F	240	0:32:18	1:02:22	1:18:31	1:33:51	2:11:24
9685.	10789	FRGARREAU SOLANGE		Femme	M4F	66	0:30:52	1:00:25	1:16:11	1:31:21	2:11:25
9686.	5872	CUPIT JOSEPH	SAM PARIS 12	Homme	M9H	1	0:32:02	1:03:01	1:19:24	1:34:18	2:11:26
9687.	1579	FRMANGIN DAVID		Homme	M0H	1015	0:29:40	0:59:02		1:29:54	2:11:26
9688.	12432	FRPEGAZ-BLANC MAËVA		Femme	SEF	1510	0:30:53	1:00:42	1:16:51	1:32:37	2:11:27
9689.	8146	FRBAKALEV EDOUARD		Homme	M2H	630	0:28:55	0:57:01	1:13:10	1:28:56	2:11:28
9690.	8974	FRBESSE NATHALIE		Femme	M2F	159	0:30:19	1:00:07		1:32:00	2:11:28
9691.	8628	FRSANTOS EMMANUEL		Homme	M1H	756	0:33:05	1:02:50	1:18:54	1:33:17	2:11:29
9692.	9746	FRAMIOTDEMENOU CLEMENCE		Femme	SEF	1511	0:32:17	1:03:02	1:19:02	1:34:42	2:11:29
9693.	1291	VNLE MINH TIEN		Homme	SEH	3461	0:34:12	1:04:20	1:19:56	1:34:48	2:11:31
9694.	2788	FRTHÉBAUDEAU NATHAN		Homme	SEH	3462	0:29:48	0:57:42	1:13:28	1:29:03	2:11:31
9695.	12029	FRBEHAGHEL JOSÉPHINE		Femme	SEF	1512	0:32:41	1:02:33	1:18:41	1:34:06	2:11:32
9696.	4338	FRBASSET ANTOINE		Homme	SEH	3463	0:44:17	1:11:13	1:25:15	1:38:39	2:11:33
9697.	2356	FRLE POULAIN GUILLAUME		Homme	M0H	1016	0:28:57	0:57:59	1:13:49	1:29:22	2:11:34
9698.	1222	FRCOURCIER HUGUES		Homme	M1H	757	0:34:03	1:04:15		1:34:31	2:11:34
9699.	448	FRCHERIF SAMI		Homme	M0H	1017	0:30:12	0:59:41	1:16:04	1:31:53	2:11:35
9700.	9274	FRHELFER JEANNE		Femme	SEF	1513	0:29:12	0:59:13	1:16:18	1:31:56	2:11:35
9701.	9790	FRMOUFARREJ CÉLINE		Femme	SEF	1514	0:28:31	0:58:16	1:14:33	1:30:00	2:11:35
9702.	5211	FRCHAPPOTTEAU HUBERT		Homme	M3H	585	0:30:21	1:00:46		1:32:28	2:11:36
9703.	8849	FRLECHEVALIER OLIVIER		Homme	M4H	320	0:38:20				2:11:37
9704.	9120	FRM. C.		Femme	SEF	1515	0:30:14	0:59:53	1:16:32	1:32:11	2:11:37
9705.	3052	NLMOL MAURICE		Homme	M5H	171	0:29:40	0:58:46	1:15:37	1:30:45	2:11:39
9706.	6843	INBIJU SANJAY		Homme	SEH	3464	0:31:20	1:00:09	1:15:46	1:30:53	2:11:39
9707.	7184	FRVENARD PHILIPPE		Homme	M5H	172	0:31:13	1:01:36	1:18:26	1:34:00	2:11:40
9708.	11891	FRVIOT AURÉLIE		Femme	M1F	199	0:31:39	1:02:14	1:18:26	1:33:54	2:11:41
9709.	3470	FRREBERT STÉPHANE		Homme	M3H	586	0:31:55	1:01:34	1:17:38	1:32:54	2:11:41
9710.	3046	FRQUILLIOT GUILLAUME		Homme	M4H	321	0:31:41	1:02:15	1:18:27	1:33:56	2:11:42
9711.	11102	FRMACHADO JOY		Femme	SEF	1516	0:31:26	1:01:54	1:17:56	1:33:52	2:11:43
9712.	8262	FRLEROUX ALEXANDRE		Homme	M3H	587	0:29:34	0:57:19	1:12:28	1:27:03	2:11:44
9713.	10030	FRDELPECH CÉCILE		Femme	SEF	1517	0:28:32	0:58:22	1:14:28	1:30:55	2:11:46
