Rank;Bib;Name;Club;Sex;Category;Category_Rank;5km;10km;12km;15km;Finish;Time_Behind_Winner;Avg_Pace;0_5_pace;5_10_pace;10_15_pace;15_end_pace;0_5_10_diff;5_10_15_diff;10_15_end_diff;start_end_diff;0_5_average_diff;5_10_average_diff;10_15_average_diff;15_end_average_diff;10k_diff;Cluster_5;Cluster_5_Label;Cluster_8;Cluster_8_Label;Cluster_10;Cluster_10_Label
42;8385;CAU QUENTIN;RACING MULTI ATHLON;Homme;MAH1;10;00:16:13;00:31:55;00:40:12;;01:07:35;+4:04;192.20742285633028;194.6;188.4;192.8449130395602;192.84491303956025;-6.199999999999989;4.444913039560191;5.684341886080802e-14;-1.7550869604397406;2.392577143669712;-3.8074228563302768;0.6374901832299145;0.6374901832299713;1.3449130395602253;2.0;Steady pace;0.0;Steady + hills struggles;1.0;Steady (+hills slowdown)
43;7935;GUILLEMOT FRANCK;;Homme;SEH;33;00:16:11;00:31:54;00:40:12;;01:07:36;+4:05;192.2548229606105;194.2;188.6;193.02514193025144;193.02514193025138;-5.599999999999994;4.425141930251442;-5.684341886080802e-14;-1.174858069748609;1.9451770393894776;-3.6548229606105167;0.7703189696409254;0.7703189696408685;1.6251419302514307;2.0;Steady pace;0.0;Steady + hills struggles;1.0;Steady (+hills slowdown)
44;7312;GUINANDIE JULIEN;AUNIS A. LA ROCHELLE AYTRE*;Homme;SEH;34;00:16:10;00:31:54;00:40:11;00:48:06;01:07:37;+4:06;192.30222306489074;194.0;188.8;194.4;192.06166967360997;-5.199999999999989;5.599999999999994;-2.338330326390036;-1.9383303263900302;1.6977769351092604;-3.502223064890728;2.097776935109266;-0.2405533912807698;1.8308348368049963;2.0;Steady pace;0.0;Steady + hills struggles;1.0;Steady (+hills slowdown)
45;2944;POIRIER ARTHUR;JOUE RUNNING 37;Homme;SEH;35;00:15:55;00:31:27;00:39:49;00:47:51;01:07:39;+4:08;192.3970232734512;191.0;186.4;196.8;194.84992619320977;-4.599999999999994;10.400000000000006;-1.9500738067902432;3.849926193209768;-1.3970232734511967;-5.997023273451191;4.402976726548815;2.4529029197585714;7.124963096604915;2.0;Steady pace;0.0;Steady + hills struggles;4.0;Steady pace
46;7938;POULIN VALENTIN;S/L TA RENNES;Homme;ESH;1;;00:31:53;00:40:12;00:48:06;01:07:42;+4:11;192.53922358629188;191.3;191.3;194.6;192.88174512055107;0.0;3.299999999999983;-1.7182548794489207;1.5817451205510622;-1.239223586291871;-1.239223586291871;2.060776413708112;0.3425215342591912;2.4408725602755226;2.0;Steady pace;0.0;Steady + hills struggles;1.0;Steady (+hills slowdown)
47;4304;DE VERNEJOUL MATHIAS;NANTES EC;Homme;SEH;36;00:15:56;00:31:26;00:39:41;00:47:47;01:08:07;+4:36;193.72422619329762;191.2;186.0;196.2;200.0984090536329;-5.199999999999989;10.199999999999989;3.8984090536329177;8.898409053632918;-2.524226193297636;-7.724226193297625;2.475773806702364;6.3741828603352815;9.549204526816453;2.0;Steady pace;3.0;Steady Pace;4.0;Steady pace
48;923;BILLAUD JONATHAN;GRAND ANGOULEME ATHLETISME;Homme;MAH1;11;00:15:54;00:31:28;00:39:46;00:47:45;01:08:13;+4:42;194.008626818979;190.8;186.8;195.4;201.4105297687387;-4.0;8.599999999999994;6.0105297687387065;10.6105297687387;-3.208626818978985;-7.208626818978985;1.3913731810210095;7.401902949759716;9.605264884369348;2.0;Steady pace;3.0;Steady Pace;4.0;Steady pace
49;5054;LAPLANCHE FLORIAN;;Homme;SEH;37;00:16:11;00:32:00;00:40:22;00:48:27;01:08:14;+4:43;194.05602692325922;194.2;189.8;197.4;194.68591110382152;-4.399999999999977;7.599999999999994;-2.714088896178481;0.485911103821536;0.14397307674076387;-4.256026923259213;3.343973076740781;0.6298841805622999;4.042955551910779;2.0;Steady pace;0.0;Steady + hills struggles;1.0;Steady (+hills slowdown)
50;950;CHALIER EMILE;VINEUIL SPORTS;Homme;SEH;38;00:16:11;;00:40:13;00:48:18;01:08:14;+4:43;194.05602692325922;194.2;192.7;192.7;196.16204690831555;-1.5;0.0;3.462046908315557;1.962046908315557;0.14397307674076387;-1.3560269232592361;-1.3560269232592361;2.106019985056321;0.9810234541577643;2.0;Steady pace;0.0;Steady + hills struggles;1.0;Steady (+hills slowdown)
51;6047;CHARMION PIERRE;SAM PARIS 12;Homme;MAH1;12;00:16:19;00:32:20;00:40:41;00:48:37;01:08:15;+4:44;194.10342702753945;195.8;192.2;195.4;193.20977529932753;-3.6000000000000227;3.200000000000017;-2.1902247006724735;-2.5902247006724792;1.696572972460558;-1.9034270275394647;1.2965729724605524;-0.8936517282119212;0.3048876496637831;2.0;Steady pace;0.0;Steady + hills struggles;1.0;Steady (+hills slowdown)
52;3864;RIO ALEXANDRE;;Homme;SEH;39;00:16:12;00:31:55;00:40:17;00:48:24;01:08:17;+4:46;194.1982272360999;194.4;188.6;197.8;195.67000164015087;-5.800000000000011;9.200000000000017;-2.1299983598491394;1.2700016401508663;0.20177276390009524;-5.598227236099916;3.601772763900101;1.4717744040509615;5.235000820075442;2.0;Steady pace;0.0;Steady + hills struggles;1.0;Steady (+hills slowdown)
53;7926;PERRAULT CHARLES;CLAMART CHATILLON RUNNING 92;Homme;SEH;40;00:16:12;00:31:59;00:40:18;00:48:14;01:08:21;+4:50;194.38782765322082;194.4;189.4;195.0;197.96621289158603;-5.0;5.599999999999994;2.966212891586025;3.5662128915860194;0.012172346779180998;-4.987827653220819;0.6121723467791753;3.5783852383652004;4.583106445792993;2.0;Steady pace;0.0;Steady + hills struggles;1.0;Steady (+hills slowdown)
54;7929;DELAHAYE THIBAUT;CLAMART CHATILLON RUNNING 92;Homme;SEH;41;00:16:15;00:32:08;00:40:38;00:48:38;01:08:25;+4:54;194.57742807034174;195.0;190.6;198.0;194.68591110382152;-4.400000000000006;7.400000000000006;-3.3140888961784754;-0.31408889617847535;0.42257192965826107;-3.9774280703417446;3.422571929658261;0.10848303347978572;3.542955551910751;2.0;Steady pace;0.0;Steady + hills struggles;1.0;Steady (+hills slowdown)
55;7050;BERTRON CÉDRIC;CJF SAINT-MALO;Homme;SEH;42;00:15:55;00:31:28;00:39:58;00:48:08;01:08:32;+5:01;194.90922880030334;191.0;186.6;200.0;200.75446941118582;-4.400000000000006;13.400000000000006;0.7544694111858234;9.754469411185823;-3.909228800303339;-8.309228800303345;5.090771199696661;5.845240610882485;11.5772347055929;2.0;Steady pace;3.0;Steady Pace;4.0;Steady pace
56;4773;MEUNIER ROMAIN;ZOOM VOLT RUNNERS;Homme;SEH;43;00:16:00;00:31:44;00:40:13;00:48:27;01:08:34;+5:03;195.0040290088638;192.0;188.8;200.6;197.96621289158603;-3.1999999999999886;11.799999999999983;-2.6337871084139692;5.966212891586025;-3.004029008863796;-6.204029008863785;5.595970991136198;2.962183882722229;8.883106445793004;2.0;Steady pace;0.0;Steady + hills struggles;4.0;Steady pace
57;6938;GOYON ENZO;GRAND ANGOULEME ATHLETISME;Homme;ESH;2;00:15:59;00:31:41;00:40:05;00:48:15;01:08:34;+5:03;195.0040290088638;191.8;188.4;198.8;199.9343939642447;-3.4000000000000057;10.400000000000006;1.1343939642446799;8.13439396424468;-3.2040290088637846;-6.60402900886379;3.7959709911362154;4.930364955380895;9.267196982122329;2.0;Steady pace;3.0;Steady Pace;4.0;Steady pace
58;1532;PERRIN-PELLETIER MARC;S/L MAISONS-LAFFITTE ATHLETISME;Homme;MAH1;13;00:16:22;00:32:19;00:40:46;00:48:51;01:08:37;+5:06;195.14622932170448;196.4;191.4;198.4;194.5218960144333;-5.0;7.0;-3.878103985566696;-1.878103985566696;1.253770678295524;-3.746229321704476;3.253770678295524;-0.6243333072711721;2.5609480072166377;2.0;Steady pace;0.0;Steady + hills struggles;1.0;Steady (+hills slowdown)
